"Phage","Host","EOP","EOP_bin"
"15-11","37-10",0,"[0,2.22e-16)"
"22-1","37-10",0,"[0,2.22e-16)"
"22-2","37-10",0,"[0,2.22e-16)"
"22-3","37-10",0,"[0,2.22e-16)"
"22-4","37-10",0,"[0,2.22e-16)"
"22-5","37-10",0,"[0,2.22e-16)"
"22-6","37-10",0,"[0,2.22e-16)"
"22-7","37-10",0,"[0,2.22e-16)"
"22-8","37-10",0,"[0,2.22e-16)"
"22-9","37-10",0,"[0,2.22e-16)"
"22-10","37-10",0,"[0,2.22e-16)"
"22-11","37-10",0,"[0,2.22e-16)"
"28-1","37-10",0,"[0,2.22e-16)"
"28-2","37-10",0,"[0,2.22e-16)"
"28-3","37-10",0,"[0,2.22e-16)"
"28-4","37-10",0,"[0,2.22e-16)"
"28-5","37-10",0,"[0,2.22e-16)"
"28-6","37-10",0,"[0,2.22e-16)"
"28-7","37-10",0,"[0,2.22e-16)"
"28-8","37-10",0,"[0,2.22e-16)"
"28-9","37-10",0,"[0,2.22e-16)"
"28-10","37-10",0,"[0,2.22e-16)"
"28-11","37-10",0,"[0,2.22e-16)"
"8-1","28-1",0,"[0,2.22e-16)"
"8-2","28-1",0,"[0,2.22e-16)"
"8-3","28-1",0,"[0,2.22e-16)"
"8-4","28-1",0,"[0,2.22e-16)"
"8-5","28-1",0,"[0,2.22e-16)"
"8-6","28-1",0,"[0,2.22e-16)"
"8-7","28-1",0,"[0,2.22e-16)"
"8-8","28-1",0,"[0,2.22e-16)"
"8-9","28-1",0,"[0,2.22e-16)"
"8-10","28-1",0,"[0,2.22e-16)"
"8-11","28-1",0,"[0,2.22e-16)"
"15-1","28-1",0,"[0,2.22e-16)"
"15-2","28-1",0,"[0,2.22e-16)"
"15-3","28-1",0.008,"[2.22e-16,0.2)"
"15-4","28-1",0.275,"[0.2,0.4)"
"15-5","28-1",0,"[0,2.22e-16)"
"15-6","28-1",0,"[0,2.22e-16)"
"15-7","28-1",0,"[0,2.22e-16)"
"15-8","28-1",0,"[0,2.22e-16)"
"15-9","28-1",0.012,"[2.22e-16,0.2)"
"15-10","28-1",0,"[0,2.22e-16)"
"15-11","28-1",0,"[0,2.22e-16)"
"22-1","28-1",0.24,"[0.2,0.4)"
"22-2","28-1",0.1,"[2.22e-16,0.2)"
"22-3","28-1",0.13333333,"[2.22e-16,0.2)"
"22-4","28-1",0.06,"[2.22e-16,0.2)"
"22-5","28-1",0,"[0,2.22e-16)"
"22-6","28-1",0.1,"[2.22e-16,0.2)"
"22-7","28-1",1.16666667,"[1,Inf)"
"22-8","28-1",0,"[0,2.22e-16)"
"22-9","28-1",0.00342857,"[2.22e-16,0.2)"
"22-10","28-1",0.1,"[2.22e-16,0.2)"
"22-11","28-1",0.4,"[0.4,0.6)"
"28-1","28-1",0.5,"[0.4,0.6)"
"28-2","28-1",0.16666667,"[2.22e-16,0.2)"
"28-3","28-1",0.2,"[0.2,0.4)"
"28-4","28-1",0.035,"[2.22e-16,0.2)"
"28-5","28-1",0.15,"[2.22e-16,0.2)"
"28-6","28-1",0.0096,"[2.22e-16,0.2)"
"28-7","28-1",0.048,"[2.22e-16,0.2)"
"28-8","28-1",0.05333333,"[2.22e-16,0.2)"
"28-9","28-1",0.00256,"[2.22e-16,0.2)"
"28-10","28-1",0.06857143,"[2.22e-16,0.2)"
"28-11","28-1",0.00363636,"[2.22e-16,0.2)"
"8-1","28-2",0,"[0,2.22e-16)"
"8-2","28-2",0,"[0,2.22e-16)"
"8-3","28-2",0,"[0,2.22e-16)"
"8-4","28-2",0,"[0,2.22e-16)"
"8-5","28-2",0,"[0,2.22e-16)"
"8-6","28-2",0,"[0,2.22e-16)"
"8-7","28-2",0,"[0,2.22e-16)"
"8-8","28-2",0,"[0,2.22e-16)"
"8-9","28-2",0,"[0,2.22e-16)"
"8-10","28-2",0,"[0,2.22e-16)"
"8-11","28-2",0,"[0,2.22e-16)"
"15-1","28-2",0.01333333,"[2.22e-16,0.2)"
"15-2","28-2",4,"[1,Inf)"
"15-3","28-2",0.024,"[2.22e-16,0.2)"
"15-4","28-2",0.225,"[0.2,0.4)"
"15-5","28-2",0,"[0,2.22e-16)"
"15-6","28-2",0.05,"[2.22e-16,0.2)"
"15-7","28-2",0.015,"[2.22e-16,0.2)"
"15-8","28-2",0,"[0,2.22e-16)"
"15-9","28-2",0,"[0,2.22e-16)"
